"dl_state","dl_cycle","raw_n","final_n","retained"
"AK","1501",381,19,4.98687664041995
"CA","1501",352,351,99.7159090909091
"CO","1501",3982,NA,NA
"CT","1501",85,NA,NA
"FL","1501",13,13,100
"GA","1501",639,332,51.9561815336463
"IA","1501",48,26,54.1666666666667
"ID","1501",5,NA,NA
"IN","1501",50,50,100
"KS","1501",187,173,92.5133689839572
"LA","1501",95,43,45.2631578947368
"MD","1501",67,31,46.2686567164179
"MI","1501",2203,9,0.408533817521562
"MS","1501",162,47,29.0123456790123
"MT","1501",3237,NA,NA
"NC","1501",235,92,39.1489361702128
"NE","1501",594,382,64.3097643097643
"NH","1501",185,NA,NA
"NY","1501",130,94,72.3076923076923
"OH","1501",1181,NA,NA
"OK","1501",124,107,86.2903225806452
"OR","1501",99,93,93.9393939393939
"PA","1501",297,297,100
"SC","1501",252,252,100
"SD","1501",522,388,74.3295019157088
"TN","1501",728,NA,NA
"VA","1501",77,71,92.2077922077922
"WA","1501",6576,5813,88.397201946472
"WV","1501",204,NA,NA
"WY","1501",3,3,100
