"dl_cycle","dl_state","n_registrations","cumulative_registrations"
"1201","CT",7,7
"1202","NH",31,31
"1301","CT",287,294
"1301","NH",1934,1965
"1301","ND",62,62
"1301","VT",1840,1840
"1301","WA",292,292
"1301","WV",1418,1418
"1302","CT",1857,2151
"1302","ID",8338,8338
"1302","MA",5269,5269
"1302","NH",378,2343
"1302","NM",1712,1712
"1302","ND",1730,1792
"1302","VT",449,2289
"1302","WA",182,474
"1302","WV",667,2085
"1401","AZ",4732,4732
"1401","IA",20,20
"1401","NH",259,2602
"1401","NM",1821,3533
"1401","ND",2482,4274
"1401","VT",237,2526
"1401","WA",159,633
"1401","WV",176,2261
"1402","AZ",579,5311
"1402","CT",208,2359
"1402","MA",401,5670
"1402","NH",211,2813
"1402","NM",3858,7391
"1402","ND",668,4942
"1402","OH",54,54
"1402","TN",1,1
"1402","VT",335,2861
"1402","WA",304,937
"1402","WV",77,2338
"1501","AK",360,360
"1501","CO",3880,3880
"1501","CT",85,2444
"1501","GA",306,306
"1501","IA",2,22
"1501","MI",2194,2194
"1501","MS",115,115
"1501","MT",3237,3237
"1501","NH",162,2975
"1501","OH",1181,1235
"1501","TN",728,729
"1501","WA",671,1608
"1501","WV",204,2542
"1502","AK",154,514
"1502","CO",6273,10153
"1502","IL",3811,3811
"1502","MI",3835,6029
"1502","MS",315,430
"1502","MT",5365,8602
"1502","NH",153,3128
"1502","ND",6539,11481
"1502","OH",782,2017
"1502","VT",380,3241
"1502","WA",1604,3212
"1502","WV",158,2700
