"dl_cycle","dl_state","n_registrations","cumulative_registrations"
"0800","AK",1739,1739
"0800","AZ",21332,21332
"0800","AR",8896,8896
"0800","CA",54799,54799
"0800","CT",3398,3398
"0800","IL",21719,21719
"0800","IN",4303,4303
"0800","LA",6810,6810
"0800","MD",3110,3110
"0800","MA",502,502
"0800","MI",23417,23417
"0800","MN",64662,64662
"0800","MO",501,501
"0800","NE",576,576
"0800","NV",489,489
"0800","NH",2697,2697
"0800","NJ",107,107
"0800","NM",3910,3910
"0800","NY",2769,2769
"0800","OH",12120,12120
"0800","OR",7020,7020
"0800","UT",1339,1339
"0800","VT",3250,3250
"0800","WV",598,598
"0800","WY",134,134
"0802","AL",608,608
"0802","AZ",4248,25580
"0802","AR",2653,11549
"0802","CA",7834,62633
"0802","CO",5762,5762
"0802","CT",53,3451
"0802","IL",1456,23175
"0802","IN",1810,6113
"0802","KY",11540,11540
"0802","LA",2558,9368
"0802","ME",17361,17361
"0802","MI",3370,26787
"0802","MN",2232,66894
"0802","MO",492,993
"0802","NH",190,2887
"0802","NM",334,4244
"0802","NY",3364,6133
"0802","NC",29597,29597
"0802","OH",1791,13911
"0802","OR",3574,10594
"0802","TX",97238,97238
"0802","UT",820,2159
"0802","VT",152,3402
"0802","WA",15642,15642
"0802","WV",121,719
"0802","WI",72302,72302
"0802","WY",402,536
"0901","AL",30511,31119
"0901","AK",3608,5347
"0901","AZ",15046,40626
"0901","AR",16654,28203
"0901","CA",21060,83693
"0901","CO",3495,9257
"0901","CT",110,3561
"0901","DE",4855,4855
"0901","GA",8602,8602
"0901","IL",10671,33846
"0901","IN",9384,15497
"0901","KS",7701,7701
"0901","LA",14933,24301
"0901","ME",1007,18368
"0901","MD",11124,14234
"0901","MI",15382,42169
"0901","MN",17197,84091
"0901","MO",7408,8401
"0901","NE",9966,10542
"0901","NV",2510,2999
"0901","NH",573,3460
"0901","NM",816,5060
"0901","NY",8356,14489
"0901","NC",33041,62638
"0901","ND",20501,20501
"0901","OH",12145,26056
"0901","OK",8732,8732
"0901","OR",6465,17059
"0901","PA",50732,50732
"0901","SC",14150,14150
"0901","SD",4862,4862
"0901","TN",8687,8687
"0901","TX",279243,376481
"0901","UT",4767,6926
"0901","VT",387,3789
"0901","WA",3640,19282
"0901","WV",786,1505
"0901","WI",15065,87367
"0902","AL",10222,41341
