"DL","dl_state","n_registrations","cumulative_registrations"
"0800","AK",3888,3888
"0800","AR",8936,8936
"0800","AZ",24452,24452
"0800","CA",58264,58264
"0800","CO",68,68
"0800","CT",2928,2928
"0800","DE",1780,1780
"0800","FL",4590,4590
"0800","GA",2804,2804
"0800","IA",1565,1565
"0800","IL",34729,34729
"0800","IN",6382,6382
"0800","KS",1979,1979
"0800","KY",13,13
"0800","LA",55,55
"0800","MA",9983,9983
"0800","MD",2171,2171
"0800","ME",17698,17698
"0800","MI",33469,33469
"0800","MN",65418,65418
"0800","MO",1040,1040
"0800","MS",26341,26341
"0800","MT",19409,19409
"0800","NC",36091,36091
"0800","ND",32814,32814
"0800","NE",2502,2502
"0800","NH",5600,5600
"0800","NJ",608,608
"0800","NM",27405,27405
"0800","NV",686,686
"0800","NY",2820,2820
"0800","OH",15313,15313
"0800","OK",994,994
"0800","OR",8173,8173
"0800","PA",38482,38482
"0800","RI",481,481
"0800","SC",3700,3700
"0800","SD",3226,3226
"0800","TN",5339,5339
"0800","TX",55658,55658
"0800","UT",1785,1785
"0800","VA",32,32
"0800","VT",6145,6145
"0800","WA",18492,18492
"0800","WI",69300,69300
"0800","WV",3171,3171
"0800","WY",4,4
"0901","AK",2341,6229
"0901","AL",6586,6586
"0901","AR",4825,13761
"0901","AZ",16633,41085
"0901","CA",9158,67422
"0901","CT",148,3076
"0901","FL",22734,27324
"0901","GA",19504,22308
"0901","IA",947,2512
"0901","ID",6534,6534
"0901","IL",5747,40476
"0901","IN",8774,15156
"0901","KS",1750,3729
"0901","KY",23375,23388
"0901","MA",244,10227
"0901","MD",2071,4242
"0901","ME",695,18393
"0901","MI",12869,46338
"0901","MO",16501,17541
"0901","MS",7108,33449
"0901","MT",1902,21311
"0901","ND",2619,35433
"0901","NE",3391,5893
"0901","NH",477,6077
"0901","NM",1427,28832
"0901","NV",1963,2649
"0901","NY",11480,14300
"0901","OH",8057,23370
"0901","OK",6003,6997
"0901","OR",6401,14574
"0901","RI",115,596
"0901","SD",5286,8512
"0901","TN",26103,31442
"0901","TX",253220,308878
"0901","VA",4902,4934
"0901","VT",353,6498
"0901","WA",2849,21341
"0901","WV",695,3866
"0901","WY",389,393
"0902","AK",1458,7687
"0902","AL",30003,36589
"0902","AR",16935,30696
"0902","AZ",4093,45178
"0902","CA",21633,89055
"0902","CT",185,3261
"0902","DE",3714,5494
"0902","FL",2852,30176
"0902","IA",6695,9207
"0902","IL",5414,45890
"0902","IN",3619,18775
"0902","KS",24813,28542
"0902","KY",3680,27068
"0902","LA",11808,11863
"0902","MA",267,10494
"0902","MD",11699,15941
"0902","MI",12298,58636
"0902","MN",27661,93079
"0902","MO",10612,28153
"0902","MS",8307,41756
"0902","MT",2129,23440
"0902","NC",58814,94905
"0902","ND",2833,38266
"0902","NE",11432,17325
"0902","NH",449,6526
"0902","NV",718,3367
"0902","NY",5557,19857
"0902","OH",6328,29698
"0902","OR",4326,18900
"0902","PA",7570,46052
"0902","RI",156,752
"0902","SC",4700,8400
"0902","TX",156324,465202
"0902","UT",6671,8456
"0902","WA",2875,24216
"0902","WI",15779,85079
"0902","WY",2221,2614
"1001","AL",4318,40907
"1001","AR",3658,34354
"1001","CA",4355,93410
"1001","CT",154,3415
"1001","FL",14338,44514
"1001","IA",3811,13018
"1001","IL",2015,47905
"1001","IN",1053,19828
"1001","KS",10008,38550
"1001","KY",1359,28427
"1001","MA",379,10873
"1001","ME",2729,21122
"1001","MI",14712,73348
"1001","MN",15689,108768
"1001","MO",1693,29846
"1001","MS",2975,44731
"1001","MT",2653,26093
"1001","NC",9172,104077
"1001","ND",6449,44715
"1001","NE",1284,18609
"1001","NH",686,7212
"1001","NJ",3408,4016
"1001","NM",1211,30043
"1001","NV",696,4063
"1001","NY",5403,25260
"1001","OH",2747,32445
"1001","OR",4899,23799
"1001","PA",12184,58236
"1001","SC",3833,12233
"1001","UT",2997,11453
"1001","VT",735,7233
"1001","WA",1942,26158
"1001","WI",22841,107920
"1001","WV",595,4461
"1001","WY",1178,3792
"1002","AK",828,8515
"1002","AL",3134,44041
"1002","AR",2452,36806
"1002","AZ",2924,48102
"1002","CA",3970,97380
"1002","CT",495,3910
"1002","DE",545,6039
"1002","IL",2884,50789
"1002","KY",445,28872
"1002","LA",33302,45165
"1002","MA",602,11475
"1002","MD",4431,20372
"1002","ME",1886,23008
"1002","MI",17893,91241
"1002","MN",9330,118098
"1002","MO",1408,31254
"1002","MS",3744,48475
"1002","MT",2317,28410
"1002","NC",13765,117842
"1002","ND",8641,53356
"1002","NE",1099,19708
"1002","NH",1024,8236
"1002","NJ",932,4948
"1002","NV",1234,5297
"1002","NY",5147,30407
"1002","OH",2422,34867
"1002","OR",6748,30547
"1002","PA",19618,77854
"1002","TX",79999,545201
"1002","VT",906,8139
"1002","WA",5866,32024
"1002","WV",637,5098
"1002","WY",579,4371
"1003","AK",1119,9634
"1003","AL",3049,47090
"1003","AR",5341,42147
"1003","CA",4625,102005
"1003","CT",307,4217
"1003","DE",1306,7345
"1003","FL",7438,51952
"1003","GA",69074,91382
"1003","IA",2678,15696
"1003","ID",13343,19877
"1003","IN",2553,22381
"1003","KS",2861,41411
"1003","KY",311,29183
"1003","MA",587,12062
"1003","ME",1227,24235
